#H_Fe	err_H_Fe	B[mT]	err_B[mT]
769.8200782	50.6939463	355.5	10.665
798.3877062	52.81367	370.5	11.115
826.7634066	55.0644748	386.5	11.595
855.3310346	57.1842937	401.5	12.045
887.0433166	59.3195059	416.5	12.495
924.6610518	61.7476162	433.5	13.005
992.9576177	64.8544747	454.5	13.635
1055.673529	68.5278755	480	14.4
1061.844723	70.801042	497	14.91
1081.554171	72.4815294	509	15.27
1110.505654	74.3392175	522	15.66
1177.517784	77.2416344	541.5	16.245
1221.424828	79.7008751	558.5	16.755
1283.815941	82.5157736	577.5	17.325
1376.885884	86.012676	600.5	18.015
1460.13801	89.7251942	625.5	18.765
1567.779659	94.0899701	654.5	19.635
1698.526395	98.905834	686	20.58
1839.799601	104.109211	720	21.6
1996.796078	109.4015111	754	22.62
2182.995022	115.3171046	791.5	23.745
2412.643341	121.8761165	832	24.96
2588.315814	127.425172	867	26.01
2797.678902	132.7224824	898.5	26.955
2977.455668	137.6627884	928.5	27.855
3031.180528	139.9201312	943.5	28.305
3064.620158	140.8941477	949.5	28.485
3069.949829	141.5717969	954.5	28.635
3088.817753	141.6840975	954.5	28.635
3080.476299	141.9573734	957	28.71
3086.957535	141.8667526	956	28.68
3088.625826	141.8121072	955.5	28.665
3086.765607	141.9947841	957	28.71
3080.476299	141.9573734	957	28.71
3081.952662	142.0307501	957.5	28.725
3086.765607	141.9947841	957	28.71
3086.765607	141.9947841	957	28.71
3091.386625	142.086879	957.5	28.725
3085.289244	141.9214082	956.5	28.695
3089.718334	142.1415359	958	28.74
3083.429026	142.1041269	958	28.74
3088.24197	142.06816	957.5	28.725
3094.723206	141.9775959	956.5	28.695
3091.578552	141.9588572	956.5	28.695
3093.246843	141.9042212	956	28.68
3086.57368	142.1228267	958	28.74
3091.578552	141.9588572	956.5	28.695
3096.391497	141.9229697	956	28.68
3093.246843	141.9042212	956	28.68
3096.391497	141.9229697	956	28.68
3094.723206	141.9775959	956.5	28.695
3086.57368	142.1228267	958	28.74
3094.723206	141.9775959	956.5	28.695
3102.680805	141.9604947	956	28.68
3093.246843	141.9042212	956	28.68
3091.386625	142.086879	957.5	28.725
3091.386625	142.086879	957.5	28.725
3099.536151	141.9417275	956	28.68
3094.531279	142.1056074	957.5	28.725
-2944.916618	137.1469048	-926	27.78
-2948.061273	137.1654948	-926	27.78
-2943.440255	137.0735238	-925.5	27.765
-2941.771964	137.1283246	-926	27.78
-2938.62731	137.1097541	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2937.150947	137.0363724	-925.5	27.765
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2938.62731	137.1097541	-926	27.78
-2935.482656	137.0911934	-926	27.78
-2938.62731	137.1097541	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2943.440255	137.0735238	-925.5	27.765
-2946.584909	137.0921142	-925.5	27.765
-2938.62731	137.1097541	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2948.061273	137.1654948	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2948.061273	137.1654948	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2948.061273	137.1654948	-926	27.78
-2949.537636	137.2388755	-926.5	27.795
