#H_Fe	err_H_Fe	B[mT]	err_B[mT]
-930 50 -355 11
-950 50 -381 11
-970 60 -403 12
-1050 60 -429 13
-1170 70 -470 14
-1240 70 -504 15
-1280 80 -530 16
-1320 80 -554 17
-1400 80 -580 17
-1490 90 -608 18
-1590 90 -636 19
-1670 100 -664 20
-1750 100 -688 21
-1850 100 -712 21
-1980 110 -739 22
-2100 110 -767 23
-2250 120 -795 24
-2410 120 -825 25
-2610 130 -860 30
-2720 130 -880 30
-2820 130 -900 30
-2940 140 -910 30
-3020 140 -930 30
-3070 140 -940 30
-3090 140 -940 30
-3100 140 -940 30
-3110 140 -940 30
-3110 140 -940 30
-3110 140 -940 30
-3110 140 -940 30
-3110 140 -940 30
-3110 140 -940 30
-3120 140 -940 30
-3110 140 -940 30
-3120 140 -940 30
-3120 140 -940 30
-3120 140 -940 30
-3120 140 -940 30
-3120 140 -940 30
-3120 140 -950 30
-3130 140 -940 30
-3110 140 -950 30
