B I
1,26 602,5
1,257 601,5
1,254 601
1,2495 599,5
1,239 597
1,2345 595
1,227 593
1,224 591,5
1,218 589,5
1,2165 588,5
1,2135 587
1,2045 586
1,1985 583,5
1,1925 581
1,1895 579,5
1,185 579
1,1835 577,5
1,179 576,5
1,146 569
1,125 561
1,1085 555,5
1,104 552
1,098 550
1,0965 548,5
1,089 546,5
1,0845 544,5
1,077 543
1,074 541
1,0635 538,5
1,059 536,5
1,0545 534,5
1,0455 532
1,0335 528
1,023 524
1,017 521,5
1,005 518,5
1,0005 515,5
0,993 513
0,987 511,5
0,9825 509
0,981 508
0,9795 507
0,9765 506
0,9735 505,5
0,9735 505
0,972 504,5
0,969 503,5
0,9675 503
0,9555 499,5
0,9465 497
0,942 495
0,936 492,5
0,9345 491,5
0,927 489
0,921 487
0,9045 483
0,8985 479,5
0,8895 476,5
0,8805 473
0,8745 470,5
0,8715 469
0,867 467
0,8655 466
0,8625 465
0,8595 464
0,8565 462,5
0,8505 461
0,8445 459,5
0,8445 458,5
0,8445 458
0,8445 457,5
0,8415 458
0,84 457
0,8295 454
0,8205 450,5
0,816 448,5
0,81 446,5
0,8055 444
0,801 442,5
0,801 442
0,7995 441
0,7965 440,5
0,7845 436,5
0,7785 434,5
0,771 432
0,765 429
0,762 427,5
0,756 425
0,7515 423,5
0,753 423
0,753 422,5
0,7515 422,5
0,747 421,5
0,7425 420
0,741 419
0,7365 417,5
0,7275 415
0,7215 412,5
0,711 408,5
0,708 406,5
0,699 404
0,6975 402
0,693 401
0,6885 399,5
0,6825 397
0,675 394
0,6705 392
0,663 389
0,651 385
0,651 383
0,648 382,5
0,6465 382
