I err_I B B_error l_Fe err_l_Fe d 
-2.4075 0.5000 -846.5000 -25.3950 0.4770 0.0040 0.0020
-2.4060 0.5000 -844.5000 -25.3350 0.4770 0.0040 0.0020
-2.4075 0.5000 -843.0000 -25.2900 0.4770 0.0040 0.0020
-2.4075 0.5000 -843.0000 -25.2900 0.4770 0.0040 0.0020
-2.4075 0.5000 -845.5000 -25.3650 0.4770 0.0040 0.0020
-2.4075 0.5000 -844.5000 -25.3350 0.4770 0.0040 0.0020
-2.4195 0.5000 -845.5000 -25.3650 0.4770 0.0040 0.0020
-2.4255 0.5000 -849.0000 -25.4700 0.4770 0.0040 0.0020
-2.4525 0.5000 -853.5000 -25.6050 0.4770 0.0040 0.0020
-2.4825 0.5000 -860.0000 -25.8000 0.4770 0.0040 0.0020
-2.4885 0.5000 -863.5000 -25.9050 0.4770 0.0040 0.0020
-2.5140 0.5000 -868.0000 -26.0400 0.4770 0.0040 0.0020
-2.5515 0.5000 -873.5000 -26.2050 0.4770 0.0040 0.0020
-2.5785 0.5000 -877.5000 -26.3250 0.4770 0.0040 0.0020
-2.5980 0.5000 -886.0000 -26.5800 0.4770 0.0040 0.0020
-2.6175 0.5000 -890.0000 -26.7000 0.4770 0.0040 0.0020
-2.6280 0.5000 -889.0000 -26.6700 0.4770 0.0040 0.0020
-2.6490 0.5000 -892.5000 -26.7750 0.4770 0.0040 0.0020
-2.6655 0.5000 -898.5000 -26.9550 0.4770 0.0040 0.0020
-2.6835 0.5000 -902.0000 -27.0600 0.4770 0.0040 0.0020
-2.6970 0.5000 -906.0000 -27.1800 0.4770 0.0040 0.0020
-2.6985 0.5000 -905.0000 -27.1500 0.4770 0.0040 0.0020
-2.7015 0.5000 -908.0000 -27.2400 0.4770 0.0040 0.0020
-2.7015 0.5000 -907.0000 -27.2100 0.4770 0.0040 0.0020
-2.7030 0.5000 -906.5000 -27.1950 0.4770 0.0040 0.0020
-2.7045 0.5000 -906.0000 -27.1800 0.4770 0.0040 0.0020
-2.7030 0.5000 -909.0000 -27.2700 0.4770 0.0040 0.0020
-2.7060 0.5000 -906.5000 -27.1950 0.4770 0.0040 0.0020
-2.7030 0.5000 -908.5000 -27.2550 0.4770 0.0040 0.0020
-2.7030 0.5000 -905.5000 -27.1650 0.4770 0.0040 0.0020
-2.7030 0.5000 -906.0000 -27.1800 0.4770 0.0040 0.0020
-2.7060 0.5000 -906.0000 -27.1800 0.4770 0.0040 0.0020
-2.7030 0.5000 -906.5000 -27.1950 0.4770 0.0040 0.0020
-2.7060 0.5000 -905.5000 -27.1650 0.4770 0.0040 0.0020
-2.7045 0.5000 -910.0000 -27.3000 0.4770 0.0040 0.0020
-2.7045 0.5000 -906.0000 -27.1800 0.4770 0.0040 0.0020
-2.7045 0.5000 -906.5000 -27.1950 0.4770 0.0040 0.0020
-2.7030 0.5000 -909.5000 -27.2850 0.4770 0.0040 0.0020
-2.7030 0.5000 -906.0000 -27.1800 0.4770 0.0040 0.0020
-2.7045 0.5000 -906.0000 -27.1800 0.4770 0.0040 0.0020
-2.7045 0.5000 -909.5000 -27.2850 0.4770 0.0040 0.0020
-2.7030 0.5000 -910.0000 -27.3000 0.4770 0.0040 0.0020
-2.7045 0.5000 -906.5000 -27.1950 0.4770 0.0040 0.0020
-2.7030 0.5000 -906.0000 -27.1800 0.4770 0.0040 0.0020
-2.7060 0.5000 -906.0000 -27.1800 0.4770 0.0040 0.0020
-2.7045 0.5000 -910.0000 -27.3000 0.4770 0.0040 0.0020
-2.7060 0.5000 -908.0000 -27.2400 0.4770 0.0040 0.0020
-2.7060 0.5000 -910.0000 -27.3000 0.4770 0.0040 0.0020
-2.7075 0.5000 -908.5000 -27.2550 0.4770 0.0040 0.0020
-2.7240 0.5000 -913.0000 -27.3900 0.4770 0.0040 0.0020
-2.7435 0.5000 -916.5000 -27.4950 0.4770 0.0040 0.0020
-2.7540 0.5000 -918.5000 -27.5550 0.4770 0.0040 0.0020
-2.7690 0.5000 -919.5000 -27.5850 0.4770 0.0040 0.0020
-2.7750 0.5000 -918.5000 -27.5550 0.4770 0.0040 0.0020
-2.7825 0.5000 -923.5000 -27.7050 0.4770 0.0040 0.0020
-2.7900 0.5000 -925.5000 -27.7650 0.4770 0.0040 0.0020
-2.7975 0.5000 -925.5000 -27.7650 0.4770 0.0040 0.0020
-2.8020 0.5000 -928.0000 -27.8400 0.4770 0.0040 0.0020
-2.8035 0.5000 -929.0000 -27.8700 0.4770 0.0040 0.0020
-2.8020 0.5000 -924.5000 -27.7350 0.4770 0.0040 0.0020
-2.8035 0.5000 -924.0000 -27.7200 0.4770 0.0040 0.0020
-2.8050 0.5000 -929.0000 -27.8700 0.4770 0.0040 0.0020
-2.8050 0.5000 -924.5000 -27.7350 0.4770 0.0040 0.0020
-2.8035 0.5000 -929.5000 -27.8850 0.4770 0.0040 0.0020
-2.8050 0.5000 -927.0000 -27.8100 0.4770 0.0040 0.0020
-2.8050 0.5000 -927.0000 -27.8100 0.4770 0.0040 0.0020
-2.8050 0.5000 -926.5000 -27.7950 0.4770 0.0040 0.0020
-2.8050 0.5000 -927.0000 -27.8100 0.4770 0.0040 0.0020
-2.8050 0.5000 -924.5000 -27.7350 0.4770 0.0040 0.0020
-2.8065 0.5000 -927.5000 -27.8250 0.4770 0.0040 0.0020
-2.8065 0.5000 -925.0000 -27.7500 0.4770 0.0040 0.0020
-2.8050 0.5000 -925.5000 -27.7650 0.4770 0.0040 0.0020
-2.8050 0.5000 -929.5000 -27.8850 0.4770 0.0040 0.0020
-2.8050 0.5000 -925.0000 -27.7500 0.4770 0.0040 0.0020
-2.8035 0.5000 -925.5000 -27.7650 0.4770 0.0040 0.0020
-2.8050 0.5000 -926.5000 -27.7950 0.4770 0.0040 0.0020
-2.8050 0.5000 -924.5000 -27.7350 0.4770 0.0040 0.0020
-2.8050 0.5000 -929.0000 -27.8700 0.4770 0.0040 0.0020
-2.8050 0.5000 -929.5000 -27.8850 0.4770 0.0040 0.0020
-2.8050 0.5000 -929.5000 -27.8850 0.4770 0.0040 0.0020
-2.8050 0.5000 -926.0000 -27.7800 0.4770 0.0040 0.0020
-2.8050 0.5000 -925.0000 -27.7500 0.4770 0.0040 0.0020
-2.8050 0.5000 -925.5000 -27.7650 0.4770 0.0040 0.0020
-2.8065 0.5000 -928.5000 -27.8550 0.4770 0.0040 0.0020
-2.8260 0.5000 -928.5000 -27.8550 0.4770 0.0040 0.0020
-2.8440 0.5000 -930.0000 -27.9000 0.4770 0.0040 0.0020
-2.8530 0.5000 -934.5000 -28.0350 0.4770 0.0040 0.0020
-2.8575 0.5000 -938.5000 -28.1550 0.4770 0.0040 0.0020
-2.8605 0.5000 -935.0000 -28.0500 0.4770 0.0040 0.0020
-2.8650 0.5000 -935.0000 -28.0500 0.4770 0.0040 0.0020
-2.8755 0.5000 -936.5000 -28.0950 0.4770 0.0040 0.0020
-2.8845 0.5000 -938.5000 -28.1550 0.4770 0.0040 0.0020
-2.8965 0.5000 -940.0000 -28.2000 0.4770 0.0040 0.0020
